"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.979008460948986	0.00612733473249198	0.962961208346335	0.988188435607756
"scvi"	0	0.978585099052366	0.00624809545470026	0.96222707522866	0.987947811768705
"seurat"	0.05	0.976942733856428	0.00671597707555112	0.95938227859185	0.987013956890613
"scvi"	0.05	0.97221064916554	0.00805493191351536	0.95122673104501	0.984315433069304
"seurat"	0.1	0.974678981213707	0.00735813880133417	0.955473433296756	0.985724409960487
"scvi"	0.1	0.96400853990295	0.0103441502231722	0.937231708535035	0.979610928186156
"seurat"	0.15	0.97219929894746	0.00805806329829528	0.951207457345013	0.984308874892322
"scvi"	0.15	0.95350133890768	0.0132180948739418	0.919560409111289	0.973533317242484
"seurat"	0.2	0.969484384659235	0.00882020148610992	0.946555527771579	0.98275546852016
"scvi"	0.2	0.940117252314043	0.0167835857863768	0.897458226670011	0.96570755566892
"seurat"	0.25	0.966513473933102	0.00964919329294338	0.941487249426826	0.981051274657169
"scvi"	0.25	0.923191048282719	0.0211397378678258	0.87014050823909	0.955673275908865
"seurat"	0.5	0.946983744130761	0.0149683670563578	0.908738977696352	0.969735048766157
"scvi"	0.5	0.759695211933125	0.0544242893559666	0.638002047101378	0.850091076668428
"seurat"	0.75	0.917041679495537	0.0226839900273292	0.860374192781002	0.951993776765322
"scvi"	0.75	0.454006263186403	0.0739038102637405	0.316730457671209	0.598650487180558
